[2021-09-02 00:35:52,127] A: 020017_003, B: 020017_003_1 | MSE | 16.3304258982 | PSNR | 36.00082849564131 | SSMI | 0.939064630618 | Delta_E | 0.785535672897
[2021-09-02 00:35:53,457] A: 020017_004, B: 020017_004_1 | MSE | 7.69298362732 | PSNR | 39.26985552721393 | SSMI | 0.966391106694 | Delta_E | 0.536118456796
[2021-09-02 00:35:54,771] A: 020018_001, B: 020018_001_1 | MSE | 2.84997208913 | PSNR | 43.58239754050787 | SSMI | 0.983558743125 | Delta_E | 0.376241829216
[2021-09-02 00:35:56,084] A: 020018_002, B: 020018_002_1 | MSE | 5.5161558787 | PSNR | 40.71443830647646 | SSMI | 0.985909630893 | Delta_E | 0.454278551084
[2021-09-02 00:35:57,397] A: 020018_003, B: 020018_003_1 | MSE | 3.22053909302 | PSNR | 43.05151785592478 | SSMI | 0.982634772154 | Delta_E | 0.397941422534
[2021-09-02 00:35:58,718] A: 020018_004, B: 020018_004_1 | MSE | 6.84184010824 | PSNR | 39.77907440232889 | SSMI | 0.982967400591 | Delta_E | 0.559226751025
[2021-09-02 00:36:00,042] A: 020019_001, B: 020019_001_1 | MSE | 6.90342871348 | PSNR | 39.7401551629062 | SSMI | 0.984448711497 | Delta_E | 0.552220433569
[2021-09-02 00:36:01,368] A: 020019_002, B: 020019_002_1 | MSE | 7.04967880249 | PSNR | 39.64911030753655 | SSMI | 0.984977876883 | Delta_E | 0.474072115613
[2021-09-02 00:36:02,694] A: 020019_003, B: 020019_003_1 | MSE | 5.27393213908 | PSNR | 40.909458235434556 | SSMI | 0.985952275291 | Delta_E | 0.481252226412
[2021-09-02 00:36:04,026] A: 020019_004, B: 020019_004_1 | MSE | 7.33117961884 | PSNR | 39.47906500724332 | SSMI | 0.983539754187 | Delta_E | 0.511185621997
[2021-09-02 00:36:05,358] A: 020020_001, B: 020020_001_1 | MSE | 5.65897274017 | PSNR | 40.60342758966654 | SSMI | 0.976330958923 | Delta_E | 0.510143563395
[2021-09-02 00:36:06,681] A: 020020_002, B: 020020_002_1 | MSE | 6.42959912618 | PSNR | 40.048964645712424 | SSMI | 0.971266638783 | Delta_E | 0.646763764855
[2021-09-02 00:36:08,054] A: 020020_003, B: 020020_003_1 | MSE | 7.97358258565 | PSNR | 39.11426864115478 | SSMI | 0.972139916678 | Delta_E | 0.643794882214
[2021-09-02 00:36:09,393] A: 020020_004, B: 020020_004_1 | MSE | 7.06535148621 | PSNR | 39.63946588919324 | SSMI | 0.97273228408 | Delta_E | 0.616662316805
[2021-09-02 00:36:10,725] A: 020021_001, B: 020021_001_1 | MSE | 16.6046733856 | PSNR | 35.928500234338344 | SSMI | 0.944081643422 | Delta_E | 0.806118814295
[2021-09-02 00:36:12,052] A: 020021_002, B: 020021_002_1 | MSE | 9.99179077148 | PSNR | 38.13437029551187 | SSMI | 0.960121759312 | Delta_E | 0.608131213128
[2021-09-02 00:36:13,385] A: 020021_003, B: 020021_003_1 | MSE | 16.0686798096 | PSNR | 36.071001639409744 | SSMI | 0.942806483359 | Delta_E | 0.756666739142
[2021-09-02 00:36:14,697] A: 020021_004, B: 020021_004_1 | MSE | 8.2073319753 | PSNR | 38.98878360474332 | SSMI | 0.964493582092 | Delta_E | 0.503088427993
[2021-09-02 00:36:16,015] A: 020022_001, B: 020022_001_1 | MSE | 4.11288166046 | PSNR | 41.98934147091283 | SSMI | 0.973007841458 | Delta_E | 0.342290834071
[2021-09-02 00:36:17,333] A: 020022_002, B: 020022_002_1 | MSE | 3.81981627146 | PSNR | 42.31037886492396 | SSMI | 0.973937701852 | Delta_E | 0.329054061918
[2021-09-02 00:36:18,651] A: 020022_003, B: 020022_003_1 | MSE | 3.85679912567 | PSNR | 42.268533408466354 | SSMI | 0.974661223973 | Delta_E | 0.331290890402
[2021-09-02 00:36:19,969] A: 020022_004, B: 020022_004_1 | MSE | 3.12142690023 | PSNR | 43.187271920953634 | SSMI | 0.979246899394 | Delta_E | 0.292162919885
[2021-09-02 00:36:21,279] A: 020023_001, B: 020023_001_1 | MSE | 2.843501091 | PSNR | 43.59226961648223 | SSMI | 0.970375632972 | Delta_E | 0.428888604525
[2021-09-02 00:36:22,596] A: 020023_002, B: 020023_002_1 | MSE | 3.45686244965 | PSNR | 42.7439826178492 | SSMI | 0.971594570989 | Delta_E | 0.464686721792
[2021-09-02 00:36:23,910] A: 020023_003, B: 020023_003_1 | MSE | 1.9386326472 | PSNR | 45.255848387464724 | SSMI | 0.977461240889 | Delta_E | 0.356486634151
[2021-09-02 00:36:25,225] A: 020023_004, B: 020023_004_1 | MSE | 4.4522596995 | PSNR | 41.644998721477606 | SSMI | 0.970406929302 | Delta_E | 0.727718727781
[2021-09-02 00:36:26,544] A: 020024_001, B: 020024_001_1 | MSE | 16.0162852605 | PSNR | 36.08518565594943 | SSMI | 0.94483376094 | Delta_E | 0.779135631141
[2021-09-02 00:36:27,856] A: 020024_002, B: 020024_002_1 | MSE | 9.91940911611 | PSNR | 38.16594558195205 | SSMI | 0.957736060874 | Delta_E | 0.590564053991
[2021-09-02 00:36:29,180] A: 020024_003, B: 020024_003_1 | MSE | 19.1769873301 | PSNR | 35.30299979549029 | SSMI | 0.942351273159 | Delta_E | 0.889253457513
[2021-09-02 00:36:30,511] A: 020024_004, B: 020024_004_1 | MSE | 8.94302018483 | PSNR | 38.61596149890583 | SSMI | 0.963889005951 | Delta_E | 0.551208155434
[2021-09-02 00:36:31,847] A: 020025_001, B: 020025_001_1 | MSE | 15.1447766622 | PSNR | 36.32817487629101 | SSMI | 0.952322211579 | Delta_E | 0.81505271076
[2021-09-02 00:36:33,174] A: 020025_002, B: 020025_002_1 | MSE | 9.47871208191 | PSNR | 38.36331029196308 | SSMI | 0.964076345932 | Delta_E | 0.621265335067
[2021-09-02 00:36:34,514] A: 020025_003, B: 020025_003_1 | MSE | 15.7920853297 | PSNR | 36.1464087890392 | SSMI | 0.952505025321 | Delta_E | 0.818619175369
[2021-09-02 00:36:35,833] A: 020025_004, B: 020025_004_1 | MSE | 6.67773024241 | PSNR | 39.88451489815104 | SSMI | 0.969102350486 | Delta_E | 0.432076001279
[2021-09-02 00:36:37,145] A: 020026_001, B: 020026_001_1 | MSE | 9.90378284454 | PSNR | 38.17279251652532 | SSMI | 0.96662991409 | Delta_E | 0.665799401218
[2021-09-02 00:36:38,458] A: 020026_002, B: 020026_002_1 | MSE | 5.10008780162 | PSNR | 41.055027080192225 | SSMI | 0.973682186535 | Delta_E | 0.499278508511
[2021-09-02 00:36:39,775] A: 020026_003, B: 020026_003_1 | MSE | 8.35177135468 | PSNR | 38.91301764668784 | SSMI | 0.970526425246 | Delta_E | 0.62129221039
