[2021-09-02 22:17:37,488] A: 025969, B: 025969_870001 | MSE | 24.7595378558 | PSNR | 34.19337826681216 | SSIM | 0.928905796619 | Delta_E | 1.10127714588
[2021-09-02 22:17:37,488] A: 025970, B: 025970_870001 | MSE | 18.5108931859 | PSNR | 35.456529860715996 | SSIM | 0.92153423302 | Delta_E | 0.846093352616
[2021-09-02 22:17:37,488] A: 025971, B: 025971_870001 | MSE | 15.3858303229 | PSNR | 36.25959422200339 | SSIM | 0.961770468355 | Delta_E | 0.786622130951
[2021-09-02 22:17:37,488] A: 025972, B: 025972_870001 | MSE | 40.4771627585 | PSNR | 32.05870297784874 | SSIM | 0.855376110199 | Delta_E | 1.17367869539
[2021-09-02 22:17:37,488] A: 025973, B: 025973_870001 | MSE | 33.3664465745 | PSNR | 32.89770402797049 | SSIM | 0.92836252722 | Delta_E | 1.22244381283
[2021-09-02 22:17:37,488] A: 025974, B: 025974_870001 | MSE | 24.3983599345 | PSNR | 34.25719726961166 | SSIM | 0.923217623509 | Delta_E | 1.06607183302
[2021-09-02 22:17:37,488] A: 025975, B: 025975_870001 | MSE | 23.3258537451 | PSNR | 34.45242812628625 | SSIM | 0.936245969208 | Delta_E | 0.939965387756
[2021-09-02 22:17:37,488] A: 025976, B: 025976_870001 | MSE | 18.8948446115 | PSNR | 35.3673703617623 | SSIM | 0.949614657791 | Delta_E | 0.786788473939
[2021-09-02 22:17:37,488] A: 025977, B: 025977_870001 | MSE | 21.8791011969 | PSNR | 34.73050883847903 | SSIM | 0.905441058995 | Delta_E | 1.2265137511
[2021-09-02 22:17:37,488] A: 025978, B: 025978_870001 | MSE | 23.4298270543 | PSNR | 34.43311277973991 | SSIM | 0.937541516701 | Delta_E | 0.917427709786
[2021-09-02 22:17:37,488] A: 025979, B: 025979_870001 | MSE | 13.6599558989 | PSNR | 36.7763106363706 | SSIM | 0.940481061528 | Delta_E | 0.828455948151
[2021-09-02 22:17:37,488] A: 025980, B: 025980_870001 | MSE | 9.21528116862 | PSNR | 38.48571770296303 | SSIM | 0.968635007679 | Delta_E | 0.582787485707
[2021-09-02 22:17:37,488] A: 025981, B: 025981_870001 | MSE | 9.59396060308 | PSNR | 38.31082430133995 | SSIM | 0.966022686887 | Delta_E | 0.622329569554
[2021-09-02 22:17:37,488] A: 025982, B: 025982_870001 | MSE | 13.5854685307 | PSNR | 36.80005740066948 | SSIM | 0.943072170826 | Delta_E | 0.574851044941
[2021-09-02 22:17:37,488] A: 025983, B: 025983_870001 | MSE | 25.87910676 | PSNR | 34.00131078665951 | SSIM | 0.953262391424 | Delta_E | 1.21593265582
