[2021-09-02 01:51:41,314] A: 020089, B: 020089_870001 | MSE | 16.1353317102 | PSNR | 36.05302462809436 | SSMI | 0.939120332643 | Delta_E | 0.86726655548
[2021-09-02 01:51:46,720] A: 020090, B: 020090_870001 | MSE | 2.3397740523 | PSNR | 44.43906440456178 | SSMI | 0.990194777732 | Delta_E | 0.385003464266
[2021-09-02 01:51:52,162] A: 020091, B: 020091_870001 | MSE | 12.8014342785 | PSNR | 37.0582172994374 | SSMI | 0.945661293304 | Delta_E | 0.73161558794
[2021-09-02 01:51:57,595] A: 020092, B: 020092_870001 | MSE | 24.5891650518 | PSNR | 34.2233657875635 | SSMI | 0.880367959008 | Delta_E | 0.806666210241
[2021-09-02 01:52:03,023] A: 020093, B: 020093_870001 | MSE | 15.6095426877 | PSNR | 36.19690181130472 | SSMI | 0.95074252236 | Delta_E | 0.840298534968
[2021-09-02 01:52:08,452] A: 020094, B: 020094_870001 | MSE | 11.1422818502 | PSNR | 37.66106220886534 | SSMI | 0.969656183404 | Delta_E | 0.673453255804
[2021-09-02 01:52:13,893] A: 020095, B: 020095_870001 | MSE | 14.6258550485 | PSNR | 36.479590958921946 | SSMI | 0.959952932368 | Delta_E | 0.78035985524
[2021-09-02 01:52:19,328] A: 020096, B: 020096_870001 | MSE | 15.1186957359 | PSNR | 36.3356603393023 | SSMI | 0.943304797941 | Delta_E | 0.72348914703
[2021-09-02 01:52:24,773] A: 020097, B: 020097_870001 | MSE | 46.8086311817 | PSNR | 31.427544195678337 | SSMI | 0.872233785843 | Delta_E | 1.3629025578
[2021-09-02 01:52:30,182] A: 020098, B: 020098_870001 | MSE | 11.0446923574 | PSNR | 37.69926737478248 | SSMI | 0.952646877981 | Delta_E | 0.721809901417
[2021-09-02 01:52:35,626] A: 020099, B: 020099_870001 | MSE | 21.9462190469 | PSNR | 34.71720651255741 | SSMI | 0.96441151965 | Delta_E | 0.975368863568
[2021-09-02 01:52:41,069] A: 020100, B: 020100_870001 | MSE | 27.0623640219 | PSNR | 33.80714629329204 | SSMI | 0.932941086303 | Delta_E | 1.16922102617
[2021-09-02 01:52:46,530] A: 020101, B: 020101_870001 | MSE | 14.6654472351 | PSNR | 36.467850491750966 | SSMI | 0.961071369011 | Delta_E | 0.838634686296
[2021-09-02 01:52:51,967] A: 020102, B: 020102_870001 | MSE | 11.2301720778 | PSNR | 37.626939499427976 | SSMI | 0.971899772629 | Delta_E | 0.65507345336
[2021-09-02 01:52:57,402] A: 020103, B: 020103_870001 | MSE | 11.989335537 | PSNR | 37.342852462118856 | SSMI | 0.977982011705 | Delta_E | 0.626346606814
[2021-09-02 01:53:02,861] A: 020104, B: 020104_870001 | MSE | 25.1608169079 | PSNR | 34.1235562342591 | SSMI | 0.948245378295 | Delta_E | 1.12627547684
[2021-09-02 01:53:08,255] A: 020105, B: 020105_870001 | MSE | 2.02369189262 | PSNR | 45.069359690632915 | SSMI | 0.972271366416 | Delta_E | 0.560804178714
[2021-09-02 01:53:13,701] A: 020106, B: 020106_870001 | MSE | 19.5704456965 | PSNR | 35.21479644492893 | SSMI | 0.894339354689 | Delta_E | 0.75080207871
[2021-09-02 01:53:19,147] A: 020107, B: 020107_870001 | MSE | 11.238449494 | PSNR | 37.62373962680214 | SSMI | 0.967661902557 | Delta_E | 0.6701424036
[2021-09-02 01:53:24,585] A: 020108, B: 020108_870001 | MSE | 3.86454105377 | PSNR | 42.25982435614647 | SSMI | 0.963870677584 | Delta_E | 0.334239211023
[2021-09-02 01:53:30,030] A: 020109, B: 020109_870001 | MSE | 18.6550073624 | PSNR | 35.42284936092822 | SSMI | 0.912553909437 | Delta_E | 0.743109154895
[2021-09-02 01:53:35,489] A: 020110, B: 020110_870001 | MSE | 44.9155422052 | PSNR | 31.606837141636884 | SSMI | 0.86275458732 | Delta_E | 1.43292074164
[2021-09-02 01:53:40,939] A: 020111, B: 020111_870001 | MSE | 17.2478484313 | PSNR | 35.763454337894075 | SSMI | 0.921099447847 | Delta_E | 0.66136129398
[2021-09-02 01:53:46,377] A: 020112, B: 020112_870001 | MSE | 37.3356811206 | PSNR | 32.4095628223055 | SSMI | 0.849527227106 | Delta_E | 1.15780379617
[2021-09-02 01:53:51,837] A: 020113, B: 020113_870001 | MSE | 30.0488200188 | PSNR | 33.35252938419315 | SSMI | 0.878149363426 | Delta_E | 0.963418280986
[2021-09-02 01:53:57,316] A: 020114, B: 020114_870001 | MSE | 21.1034442584 | PSNR | 34.88727019298502 | SSMI | 0.896424262436 | Delta_E | 0.769051889039
[2021-09-02 01:54:02,775] A: 020115, B: 020115_870001 | MSE | 43.5885869662 | PSNR | 31.73707570371224 | SSMI | 0.839835097049 | Delta_E | 1.2470367018
[2021-09-02 01:54:08,227] A: 020116, B: 020116_870001 | MSE | 9.34923760096 | PSNR | 38.423041638130385 | SSMI | 0.941248843309 | Delta_E | 0.54479142828
[2021-09-02 01:54:13,671] A: 020117, B: 020117_870001 | MSE | 11.1096608639 | PSNR | 37.67379559100321 | SSMI | 0.938709141331 | Delta_E | 0.533047080777
[2021-09-02 01:54:19,081] A: 020118, B: 020118_870001 | MSE | 2.75564352671 | PSNR | 43.72857324843687 | SSMI | 0.986062839022 | Delta_E | 0.225613654615
[2021-09-02 01:54:24,532] A: 020119, B: 020119_870001 | MSE | 28.5460639795 | PSNR | 33.57534126038792 | SSMI | 0.90103889501 | Delta_E | 0.980584304856
[2021-09-02 01:54:29,975] A: 020120, B: 020120_870001 | MSE | 31.3176860809 | PSNR | 33.1729069430851 | SSMI | 0.860909284643 | Delta_E | 0.953851367574
[2021-09-02 01:54:35,404] A: 020121, B: 020121_870001 | MSE | 21.1760853926 | PSNR | 34.87234681277159 | SSMI | 0.909129508049 | Delta_E | 1.12708356602
[2021-09-02 01:54:40,850] A: 020122, B: 020122_870001 | MSE | 27.9535815716 | PSNR | 33.66642900805681 | SSMI | 0.890468682908 | Delta_E | 0.90522114663
[2021-09-02 01:54:46,291] A: 020123, B: 020123_870001 | MSE | 14.0732321739 | PSNR | 36.646865083449526 | SSMI | 0.962849414581 | Delta_E | 0.775056936646
[2021-09-02 01:54:51,711] A: 020124, B: 020124_870001 | MSE | 3.36883616447 | PSNR | 42.8560047027706 | SSMI | 0.987750118467 | Delta_E | 0.447759579541
[2021-09-02 01:54:57,167] A: 020125, B: 020125_870001 | MSE | 8.7642920812 | PSNR | 38.70363518321274 | SSMI | 0.968322717155 | Delta_E | 0.591718525884
[2021-09-02 01:55:02,663] A: 020126, B: 020126_870001 | MSE | 14.0992774963 | PSNR | 36.63883502637575 | SSMI | 0.911445606568 | Delta_E | 1.04869887023
[2021-09-02 01:55:08,135] A: 020127, B: 020127_870001 | MSE | 34.0022101402 | PSNR | 32.81573213810668 | SSMI | 0.935667537523 | Delta_E | 1.37280962357
[2021-09-02 01:55:13,579] A: 020128, B: 020128_870001 | MSE | 9.54427131017 | PSNR | 38.33337584560697 | SSMI | 0.971338284785 | Delta_E | 0.654555700743
[2021-09-02 01:55:19,021] A: 020129, B: 020129_870001 | MSE | 11.4056859811 | PSNR | 37.559589503561924 | SSMI | 0.968310894758 | Delta_E | 0.703269006925
[2021-09-02 01:55:24,460] A: 020130, B: 020130_870001 | MSE | 13.4198726813 | PSNR | 36.853319653085 | SSMI | 0.963311614165 | Delta_E | 0.756322119395
[2021-09-02 01:55:29,916] A: 020131, B: 020131_870001 | MSE | 19.311576287 | PSNR | 35.272626368147975 | SSMI | 0.924943403226 | Delta_E | 1.03768531762
[2021-09-02 01:55:35,374] A: 020132, B: 020132_870001 | MSE | 44.9594743252 | PSNR | 31.60259136131822 | SSMI | 0.856475794956 | Delta_E | 1.26735695395
[2021-09-02 01:55:40,795] A: 020133, B: 020133_870001 | MSE | 10.2216788133 | PSNR | 38.03558130482659 | SSMI | 0.938000887447 | Delta_E | 0.803205966063
[2021-09-02 01:55:46,205] A: 020134, B: 020134_870001 | MSE | 4.68197695414 | PSNR | 41.426510892077495 | SSMI | 0.983339600546 | Delta_E | 0.383962383909
[2021-09-02 01:55:51,628] A: 020135, B: 020135_870001 | MSE | 15.5821218491 | PSNR | 36.20453764746153 | SSMI | 0.946473053506 | Delta_E | 0.824380985846
