[2021-09-02 17:50:03,176] A: 020016_003, B: 020016_003_1 | MSE | 2.51263904572 | PSNR | 44.129502565623454 | SSMI | 0.982030245054 | Delta_E | 0.459135633752
[2021-09-02 17:50:04,471] A: 020016_004, B: 020016_004_1 | MSE | 3.73896980286 | PSNR | 42.403284032038684 | SSMI | 0.978803591534 | Delta_E | 0.484846796088
[2021-09-02 17:50:05,773] A: 020017_001, B: 020017_001_1 | MSE | 19.3588857651 | PSNR | 35.262000037635595 | SSMI | 0.930961313283 | Delta_E | 0.872301909125
[2021-09-02 17:50:07,069] A: 020017_002, B: 020017_002_1 | MSE | 11.7249794006 | PSNR | 37.43968272482795 | SSMI | 0.950413102379 | Delta_E | 0.670389739544
[2021-09-02 17:50:08,365] A: 020017_003, B: 020017_003_1 | MSE | 16.3304258982 | PSNR | 36.00082849564131 | SSMI | 0.939064630618 | Delta_E | 0.785535672897
[2021-09-02 17:50:09,666] A: 020017_004, B: 020017_004_1 | MSE | 7.69298362732 | PSNR | 39.26985552721393 | SSMI | 0.966391106694 | Delta_E | 0.536118456796
[2021-09-02 17:50:10,963] A: 020018_001, B: 020018_001_1 | MSE | 2.84997208913 | PSNR | 43.58239754050787 | SSMI | 0.983558743125 | Delta_E | 0.376241829216
[2021-09-02 17:50:12,256] A: 020018_002, B: 020018_002_1 | MSE | 5.5161558787 | PSNR | 40.71443830647646 | SSMI | 0.985909630893 | Delta_E | 0.454278551084
[2021-09-02 17:50:13,551] A: 020018_003, B: 020018_003_1 | MSE | 3.22053909302 | PSNR | 43.05151785592478 | SSMI | 0.982634772154 | Delta_E | 0.397941422534
[2021-09-02 17:50:14,853] A: 020018_004, B: 020018_004_1 | MSE | 6.84184010824 | PSNR | 39.77907440232889 | SSMI | 0.982967400591 | Delta_E | 0.559226751025
[2021-09-02 17:50:16,154] A: 020019_001, B: 020019_001_1 | MSE | 6.90342871348 | PSNR | 39.7401551629062 | SSMI | 0.984448711497 | Delta_E | 0.552220433569
[2021-09-02 17:50:17,456] A: 020019_002, B: 020019_002_1 | MSE | 7.04967880249 | PSNR | 39.64911030753655 | SSMI | 0.984977876883 | Delta_E | 0.474072115613
[2021-09-02 17:50:18,753] A: 020019_003, B: 020019_003_1 | MSE | 5.27393213908 | PSNR | 40.909458235434556 | SSMI | 0.985952275291 | Delta_E | 0.481252226412
[2021-09-02 17:50:20,053] A: 020019_004, B: 020019_004_1 | MSE | 7.33117961884 | PSNR | 39.47906500724332 | SSMI | 0.983539754187 | Delta_E | 0.511185621997
[2021-09-02 17:50:21,355] A: 020020_001, B: 020020_001_1 | MSE | 5.65897274017 | PSNR | 40.60342758966654 | SSMI | 0.976330958923 | Delta_E | 0.510143563395
[2021-09-02 17:50:22,655] A: 020020_002, B: 020020_002_1 | MSE | 6.42959912618 | PSNR | 40.048964645712424 | SSMI | 0.971266638783 | Delta_E | 0.646763764855
[2021-09-02 17:50:23,956] A: 020020_003, B: 020020_003_1 | MSE | 7.97358258565 | PSNR | 39.11426864115478 | SSMI | 0.972139916678 | Delta_E | 0.643794882214
[2021-09-02 17:50:25,259] A: 020020_004, B: 020020_004_1 | MSE | 7.06535148621 | PSNR | 39.63946588919324 | SSMI | 0.97273228408 | Delta_E | 0.616662316805
[2021-09-02 17:50:26,566] A: 020021_001, B: 020021_001_1 | MSE | 16.6046733856 | PSNR | 35.928500234338344 | SSMI | 0.944081643422 | Delta_E | 0.806118814295
[2021-09-02 17:50:27,877] A: 020021_002, B: 020021_002_1 | MSE | 9.99179077148 | PSNR | 38.13437029551187 | SSMI | 0.960121759312 | Delta_E | 0.608131213128
[2021-09-02 17:50:29,193] A: 020021_003, B: 020021_003_1 | MSE | 16.0686798096 | PSNR | 36.071001639409744 | SSMI | 0.942806483359 | Delta_E | 0.756666739142
[2021-09-02 17:50:30,506] A: 020021_004, B: 020021_004_1 | MSE | 8.2073319753 | PSNR | 38.98878360474332 | SSMI | 0.964493582092 | Delta_E | 0.503088427993
[2021-09-02 17:50:31,816] A: 020022_001, B: 020022_001_1 | MSE | 4.11288166046 | PSNR | 41.98934147091283 | SSMI | 0.973007841458 | Delta_E | 0.342290834071
